market_id,market_slug,question,condition_id,yes_token_id,no_token_id,city,city_raw,market_date_local,market_date_raw,market_type,threshold,range_low,range_high,temp_unit,precision,metric_type,parse_status,country,station_id,lat,lon,timezone,settlement_source_type,settlement_url,market_enabled,disabled_reason
1842689,highest-temperature-in-london-on-april-7-2026-16corbelow,Will the highest temperature in London be 16°C or below on April 7?,0x80517ade79f745cf2fd14e6cc44b6b7b1f645d0763c6eecf4f616a3ee4f97f62,15137982963221427632853739044419905417753962612193264398797142010225248563219,37279865386174146821279537304674724922533244392779420319756666550701391134865,London,London,2026-04-07,April 7,below,16.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842690,highest-temperature-in-london-on-april-7-2026-17c,Will the highest temperature in London be 17°C on April 7?,0x7c1ac87461b1c76c00c28641446abf76d5a19444d2e7f0b08d0d86256ee8a702,4866426607822321283526264936825895802833353684087504419619807569734568625659,15475436611177738720447683905481224913241322114546997234636613629566784458616,London,London,2026-04-07,April 7,exact,17.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842692,highest-temperature-in-london-on-april-7-2026-18c,Will the highest temperature in London be 18°C on April 7?,0x975e7298d48075454c7ae3c108d5c35b0ce5f426cfc357630d63db164a32dd8c,7114233361824113138067852999646657460185764815554696075758841775593055700896,19566513352589599608896008084597779917664890805522823470923296113020157821166,London,London,2026-04-07,April 7,exact,18.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842693,highest-temperature-in-london-on-april-7-2026-19c,Will the highest temperature in London be 19°C on April 7?,0x7427d2cad7b406bd6b20ed68d4219905116f5bae88ff2755969c49ef0ec23a20,79277478576309741604900839519220905360908170924826798677713360505966861628589,3291396858176829102253665575889251005480970700431480735517553388554508692534,London,London,2026-04-07,April 7,exact,19.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842694,highest-temperature-in-london-on-april-7-2026-20c,Will the highest temperature in London be 20°C on April 7?,0x682cce92554fa6579180fc771ea36768a51b961e11e4be6d52f0272fbe08a16f,29885164717109503830086009372288506808460308227330095424654348249127671931913,103244614804482177372536979685383287465087666607017403251690482566311679341762,London,London,2026-04-07,April 7,exact,20.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842695,highest-temperature-in-london-on-april-7-2026-21c,Will the highest temperature in London be 21°C on April 7?,0xedabb6e77c40a69315b582ca176533ef2766303692632ce0afc01961eacaf949,96471280047540264962193582208075817724715392556832455071508718190111378567195,111031831095512781064612030652485868830313811172661370730464490784660868328184,London,London,2026-04-07,April 7,exact,21.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842696,highest-temperature-in-london-on-april-7-2026-22c,Will the highest temperature in London be 22°C on April 7?,0xe630d008d796ccd7e7906e3ac95e284570bd8a737f2e9948834ffb100f20ffc2,80825050567597350092607403122690117506692335685431129992764259334325132621751,55702233914293258018247628250854109895825898926895667356102876956505179275164,London,London,2026-04-07,April 7,exact,22.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842698,highest-temperature-in-london-on-april-7-2026-23c,Will the highest temperature in London be 23°C on April 7?,0xc774dd8cd8cefe3c28de923ac06fe061f5c96cc03b44ef6a8c97189082cb3c8b,105780751267264596490923140110560172939201643128269259190418885570173372043529,105297783038456879711192277303292032780697631650401001849895289124532115242681,London,London,2026-04-07,April 7,exact,23.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842700,highest-temperature-in-london-on-april-7-2026-24c,Will the highest temperature in London be 24°C on April 7?,0xc60b5188748d0aa43d3f6f86cd95bf1842f2e2484c235facdf19b623deef0c82,44695533114347337562537915616050863213925425890725577419607669527697376013400,10731363456205177605241781654977377804939069288829061293195868822788601783239,London,London,2026-04-07,April 7,exact,24.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
1842701,highest-temperature-in-london-on-april-7-2026-25c,Will the highest temperature in London be 25°C on April 7?,0x50239d7ec5897f55dcbc5f196b4eeeb1c4aec3ff944bcee80409763e07c669b3,103638387254501910039976266481940002332894930541654492781402371939251452519992,75733630722257627480756370640135134381323142185551815427805270956385634283247,London,London,2026-04-07,April 7,exact,25.0,,,C,1C,daily_high,ok,GB,EGLC,51.5048,0.0495,Europe/London,WU,https://www.wunderground.com/history/daily/gb/london/EGLC,true,
